"Animal #","Row","Column","Arc Length","Poly2_RSS","Poly3_RSS","Poly23_RSS","Poly234_RSS","Poly2345_RSS","Frac_beta_whisker","Frac_coef","Frac_RSS","Elliptical_RSS","Cesaro_A","Cesaro_B","Cesaro_RSS",,
2,1,1,55.097,1325.7,561.3,112.29,22.388,17.135,7.0506,4.77E-05,11.946,1265.1,0.00093152,-0.005938,22.884,,
2,1,2,34.474,243.61,109.26,11.231,3.4917,1.6588,5.5281,5.13E-05,12.398,117.78,0.0016027,-0.0092132,9.3965,,
2,1,3,26.278,5.3109,0.1909,0.039132,0.040978,0.025893,2.7852,8.17E-05,0.05202,0.98944,0.00068641,0.0025346,0.06667,,
2,1,4,16.043,4.835,0.12467,0.1264,0.058888,0.0055989,3.0684,0.00060945,0.091384,0.99831,0.0032463,0.0075043,0.067212,,
2,2,3,37.186,23.381,1.0754,0.61486,0.24021,0.14709,3.4163,3.58E-05,0.31436,5.1174,0.00056682,-0.00056133,0.18657
2,2,4,22.274,21.653,0.27111,0.16729,0.14961,0.15251,3.1555,0.0002503,0.1698,4.0726,0.0022137,0.00091732,1.3981,
2,3,1,58.676,123.38,102.06,50.056,47.462,56.784,4.4888,3.14E-06,77.544,84.642,6.17E-05,0.00052627,166.06,,
2,3,2,42.87,80.86,4.9394,0.1908,0.13677,0.1212,3.361,2.30E-05,0.60034,22.276,0.0004075,-0.00070918,0.78777,,
2,3,3,62.621,1733.7,418.61,107.59,21.242,7.3739,4.7742,3.09E-05,26.015,617.24,0.00047408,-0.0015644,13.577,,
2,3,5,16.156,5.0562,0.089621,0.096035,0.048066,0.0022316,3.1085,0.00053933,0.065601,1.0011,0.0034019,0.0049065,0.060339,,
2,3,6,13.785,7.3466,0.6592,0.25703,0.091096,0.0036205,3.4351,0.0012864,0.12381,0.55819,0.0061165,0.0086966,0.17031,,
2,3,7,7.9234,1.0705,0.085985,0.0030564,0.0060399,0.0069073,2.8169,0.0076928,0.0064986,0.025454,0.0099319,0.045399,0.10488,,
2,4,2,55.112,885.75,246.24,91.397,33.066,17.659,4.7821,6.27E-05,39.924,615.83,0.00074448,-0.0016708,5.9957,,
2,4,3,41.508,382.29,71.052,20.805,3.2544,1.4065,4.4148,8.03E-05,5.3469,98.648,0.00098246,-0.0020146,1.8264,,
2,4,4,28.076,47.847,3.1445,0.46502,0.13766,0.057657,3.6043,0.00011586,0.14613,8.1455,0.0014229,-0.0013229,0.2065,,
2,4,5,13.155,3.1764,0.0011594,0.0012639,0.0017901,0.0017793,3.0025,0.00091702,0.0011558,0.95186,0.0053769,0.0055112,0.14537,,
2,1,1,60.163,1251.4,671.95,185.16,26.958,14.988,11.804,2.94E-05,25.688,1764.2,0.00092793,-0.009646,70.826,,
2,1,2,29.661,9.7498,1.9988,1.6216,0.12273,0.12275,3.8654,3.77E-05,0.60951,1.3897,0.00063349,-0.00096552,1.3097,,
2,1,3,27.118,7.4216,1.5894,0.28108,0.2993,0.16836,2.6863,0.00012899,0.30393,0.13837,0.00075944,0.00533,0.4818,,
2,1,4,11.556,0.67758,0.1792,0.013136,0.023862,0.0031007,2.5739,0.0012329,0.014785,0.012332,0.0045261,0.013381,0.068825,,
2,2,3,44.097,548.88,120,2.1227,1.6828,7.7421,4.6433,6.74E-05,1.676,108.93,0.00087415,-0.0012723,12.288,,
2,2,4,18.051,5.0479,0.42368,0.10872,0.016596,0.01465,3.3548,0.00016841,0.186,1.7022,0.0020731,-0.0018356,0.21094,,
2,2,5,12.234,0.59767,0.40721,0.010038,0.013499,0.0045932,2.4492,0.0010948,0.0034918,0.021204,0.0036534,0.015013,0.10417,,
2,2,6,6.1075,0.47958,0.0026034,0.0029545,0.0013451,0.00029443,3.0156,0.0086662,0.0025799,0.018833,0.028249,0.01569,0.01662,,
